Data;BRAZIL CDS USD SR 5Y D14 Corp  (R1);INDON CDS USD SR 5Y D14 Corp  (R2);TURKEY CDS USD SR 5Y D14 Corp  (R2);COLOM CDS USD SR 5Y D14 Corp  (R2);PERU CDS USD SR 5Y D14 Corp  (R2);HUNGARY CDS USD SR 5Y D14 Corp  (R1);KOREA CDS USD SR 5Y D14 Corp  (L1);MALAYS CDS USD SR 5Y D14 Corp  (R2);PHILIP CDS USD SR 5Y D14 Corp  (R2);ARGENT CDS USD SR 5Y D14 Corp  (L2);BGARIA CDS USD SR 5Y D14 Corp  (R2);CROATB CDS USD SR 5Y D14 Corp  (R1);CZECH CDS USD SR 5Y D14 Corp  (L1);GREECE CDS USD SR 5Y D14 Corp  (L2);ICELND CDS USD SR 5Y D14 Corp  (R2);INDIA CDS USD SR 5Y D14 Corp  (R1);IRELND CDS USD SR 5Y D14 Corp  (R2);MEX CDS USD SR 5Y D14 Corp  (R2);CHILE CDS USD SR 5Y D14 Corp  (R2);MOROC CDS USD SR 5Y D14 Corp  (R2);POLAND CDS USD SR 5Y D14 Corp  (L1);RUSSIA CDS USD SR 5Y D14 Corp  (R1);REPSOU CDS USD SR 5Y D14 Corp  (R1);SLOVEN CDS USD SR 5Y D14 Corp  (R1);THAI CDS USD SR 5Y D14 Corp  (R2);BTUN CDS USD SR 5Y D14 Corp  (R1);VIETNM CDS USD SR 5Y D14 Corp  (R2)
06-10-00;;;;;;;;;;;;;;;;;;;;;;;180,00;;;;
09-10-00;;;;;;;;;;;;;;;;;;;;;;;180,00;;;;
10-10-00;;;;;;;;;;;;;;;;;;;;;;;180,00;;;;
11-10-00;;;;;;;;;;;;;;;;;;;;;;;180,00;;;;
12-10-00;;;425,00;;;;;;;;;;;;;;;;;;;900,00;187,50;;;;
13-10-00;;;425,00;;;;;;;;;;;;;;;;;;;900,00;187,50;;;;
16-10-00;;;425,00;;;;;;;;;;;;;;;;;;;900,00;187,50;;;;
17-10-00;;;425,00;;;;;;;;;;;;;;;;;;;900,00;187,50;;;;
18-10-00;;;425,00;;;;;;;;;;;;;;;;;;;900,00;187,50;;;;
19-10-00;;;425,00;;;;;;;;;;;;;;;;;;;900,00;187,50;;;;
20-10-00;;;457,50;;;;;;;;;;;;;;;;;;;887,50;191,25;;;;
23-10-00;;;457,50;;;;;;;;;;;;;;;;;;;1000,00;191,25;;;;
24-10-00;;;462,50;;;;;;;;;;;;;;;;;;;962,50;191,25;;;;
25-10-00;;;460,00;;;;;;;;;;;;;;;;;;;962,50;191,25;;;;
26-10-00;;;452,50;;;;;;;;;;;;;;;;;;;970,00;191,25;;;;
27-10-00;;;452,50;;;;;;;;;;;;;;;;;;;962,50;190,00;;;;
30-10-00;;;437,50;;;;;;;;;;;;;;;;;;;950,00;190,00;;;;
31-10-00;;;470,00;;;;;;;;;;;;;;;;;;;902,50;190,00;;;;
01-11-00;;;470,00;;;;;;;;;;;;;;;;;;;894,00;190,00;;;;
02-11-00;;;462,50;;;;;;;;;;;;;;;;;;;890,00;200,00;;;;
