Data;BRAZIL CDS USD SR 5Y D14 Corp  (R1);INDON CDS USD SR 5Y D14 Corp  (R2);TURKEY CDS USD SR 5Y D14 Corp  (R2);COLOM CDS USD SR 5Y D14 Corp  (R2);PERU CDS USD SR 5Y D14 Corp  (R2);HUNGARY CDS USD SR 5Y D14 Corp  (R1);KOREA CDS USD SR 5Y D14 Corp  (L1);MALAYS CDS USD SR 5Y D14 Corp  (R2);PHILIP CDS USD SR 5Y D14 Corp  (R2);ARGENT CDS USD SR 5Y D14 Corp  (L2);BGARIA CDS USD SR 5Y D14 Corp  (R2);CROATB CDS USD SR 5Y D14 Corp  (R1);CZECH CDS USD SR 5Y D14 Corp  (L1);GREECE CDS USD SR 5Y D14 Corp  (L2);ICELND CDS USD SR 5Y D14 Corp  (R2);INDIA CDS USD SR 5Y D14 Corp  (R1);IRELND CDS USD SR 5Y D14 Corp  (R2);MEX CDS USD SR 5Y D14 Corp  (R2);CHILE CDS USD SR 5Y D14 Corp  (R2);MOROC CDS USD SR 5Y D14 Corp  (R2);POLAND CDS USD SR 5Y D14 Corp  (L1);RUSSIA CDS USD SR 5Y D14 Corp  (R1);REPSOU CDS USD SR 5Y D14 Corp  (R1);SLOVEN CDS USD SR 5Y D14 Corp  (R1);THAI CDS USD SR 5Y D14 Corp  (R2);BTUN CDS USD SR 5Y D14 Corp  (R1);VIETNM CDS USD SR 5Y D14 Corp  (R2)
06-10-00;;;;;;;;;;;;;;;;;;;;;;;180000;;;;
12-10-00;;;425000;;;;;;;;;;;;;;;;;;;900000;187500;;;;
20-10-00;;;457500;;;;;;;;;;;;;;;;;;;887500;191250;;;;
23-10-00;;;;;;;;;;;;;;;;;;;;;;1000000;;;;;
24-10-00;;;462500;;;;;;;;;;;;;;;;;;;962500;191250;;;;
25-10-00;;;460000;;;;;;;;;;;;;;;;;;;962500;191250;;;;
26-10-00;;;452500;;;;;;;;;;;;;;;;;;;970000;191250;;;;
27-10-00;;;452500;;;;;;;;;;;;;;;;;;;962500;190000;;;;
30-10-00;;;437500;;;;;;;;;;;;;;;;;;;950000;190000;;;;
31-10-00;;;470000;;;;;;;;;;;;;;;;;;;902500;190000;;;;
01-11-00;;;470000;;;;;;;;;;;;;;;;;;;894000;190000;;;;
02-11-00;;;462500;;;;;;;;;;;;;;;;;;;890000;200000;;;;
03-11-00;;;460000;;;;;;;;;;;;;;;;;;;883750;200000;;;;
06-11-00;;;452500;;;;;;;;;;;;;;;;;;;883750;200000;;;;
07-11-00;;;452500;;;;;;;;;;;;;;;;;;;902500;200000;;;;
08-11-00;;;457500;;;;;;;;;;;;;;;;;;;921250;200000;;;;
09-11-00;;;462500;;;;;;;;;;;;;;;;;;;1015000;200000;;;;
10-11-00;;;457500;;;;;;;;;;;;;;;;;;;998750;200000;;;;
13-11-00;;;457500;;;;;;;;;;;;;;;;;;;1005000;200000;;;;
14-11-00;;;465000;;;;;;;;;;;;;;;;;;;1005000;200000;;;;
15-11-00;;;460000;;;;;;;;;;;;;;;;;;;950000;200000;;;;
16-11-00;;;460000;;;;;;;;;;;;;;;;;;;945000;200000;;;;
17-11-00;;;462500;;;;;;;;;;;;;;;;;;;950000;200000;;;;
20-11-00;;;467500;;;;;;;;;;;;;;;;;;;950000;200000;;;;
21-11-00;;;480000;;;;;;;;;;;;;;;;;;;950000;200000;;;;
22-11-00;;;510000;;;;;;;;;;;;;;;;;;;955000;200000;;;;
24-11-00;;;577500;;;;;;;;;;;;;;;;;;;955000;200000;;;;
27-11-00;;;597500;;;;;;;;;;;;;;;;;;;955000;200000;;;;
28-11-00;;;715000;;;;;;;;;;;;;;;;;;;955000;200000;;;;
29-11-00;;;762500;;;;;;;;;;;;;;;;;;;955000;200000;;;;
30-11-00;;;800000;;;;;;;;;;;;;;;;;;;1017500;200000;;;;
01-12-00;;;825000;;;;;;;;;;;;;;;;;;;1017500;200000;;;;
04-12-00;;;880000;;;;;;;;;;;;;;;;;;;1017500;200000;;;;
05-12-00;;;800000;;;;;;;;;;;;;;;;;;;1017500;200000;;;;
06-12-00;;;742500;;;;;;;;;;;;;;;;;;;1002500;200000;;;;
07-12-00;;;747500;;;;;;;;;;;;;;;;;;;1007500;200000;;;;
08-12-00;;;742500;;;;;;;;;;;;;;;;;;;1007500;200000;;;;
11-12-00;;;727500;;;;;;;;;;;;;;;;;;;1002500;200000;;;;
12-12-00;;;720000;;;;;;;;;;;;;;;;;;;1002500;200000;;;;
13-12-00;;;740000;;;;;;;;;;;;;;;;;;;1022500;200000;;;;
14-12-00;;;752500;;;;;;;;;;;;;;;;;;;1025000;202500;;;;
15-12-00;;;752500;;;;;;;;;;;;;;;;;;;1025000;202500;;;;
18-12-00;;;735000;;;;;;;;;;;;;;;;;;;1025000;210000;;;;
19-12-00;;;760000;;;;;;;;;;;;;;;;;;;1025000;202500;;;;
20-12-00;;;760000;;;;;;;;;;;;;;;;;;;1025000;202500;;;;
21-12-00;;;750000;;;;;;;;;;;;;;;;;;;1015000;202500;;;;
22-12-00;;;750000;;;;;;;;;;;;;;;;;;;1015000;202500;;;;
26-12-00;;;750000;;;;;;;;;;;;;;;;;;;1015000;202500;;;;
27-12-00;;;750000;;;;;;;;;;;;;;;;;;;1015000;202500;;;;
28-12-00;;;750000;;;;;;;;;;;;;;;;;;;1015000;202500;;;;
29-12-00;;;750000;;;;;;;;;;;;;;;;;;;1015000;202500;;;;
02-01-01;;;750000;;;;;;;;;;;;;;;;;;;1050000;202500;;;;
03-01-01;;;760000;;;;;;;;;;;;;;;;;;;1050000;202500;;;;
04-01-01;;;750000;;;;;;;;;;;;;;;;;;;1040000;205000;;;;
05-01-01;;;697500;;;;;;;;;;;;;;;;;;;1015000;202500;;;;
08-01-01;;;700000;;;;;;;;;;;;;;;;;;;1025000;202500;;;;
09-01-01;;;700000;;;;;;;;;;;;;;;;;;;1025000;202500;;;;
10-01-01;;;700000;;;;;;;;;;;;;;;;;;;1020000;202500;;;;
11-01-01;;;690000;;;;;;;;;;;;;;;;;;;1020000;202500;;;;
12-01-01;;;657500;;;;;;;;;;;;;;;;;;;1022500;202500;;;;
16-01-01;;;637500;;;;;;;;;;;;;;;;;;;1000000;202500;;;;
17-01-01;;;625000;;;;;;;;;;;;;;;;;;;965000;202500;;;;
18-01-01;;;617500;;;;;;;;;;;;;;;;;;;955000;202500;;;;
19-01-01;;;577500;;;;;;;;;;;;;;;;;;;955000;202500;;;;
22-01-01;;;582500;;;;;;;;;;;;;;;;;;;955000;202500;;;;
23-01-01;;;577500;;;;;;;;;;;;;;;;;;;955000;202500;;;;
24-01-01;;;550000;;;;;;;;;;;;;;;;;;;945000;202500;;;;
25-01-01;;;532500;;;;;;;;;;;;;;;;;;;945000;202500;;;;
26-01-01;;;532500;;;;;;;;;;;;;;;;;;;940000;202500;;;;
29-01-01;;;522500;;;;;;;;;;;;;;;;;;;930000;202500;;;;
30-01-01;;;522500;;;;;;;;;;;;;;;;;;;925000;202500;;;;
31-01-01;;;522500;;;;;;;;;;;;;;;;;;;915000;202500;;;;
01-02-01;;;522500;;;;;;;;;;;;;;;;;;;915000;202500;;;;
02-02-01;;;522500;;;;;;;;;;;;;;;;;;;915000;202500;;;;
05-02-01;;;540000;;;;;;;;;;;;;;;;;;;877500;202500;;;;
06-02-01;;;565000;;;;;;;;;;;;;;;;;;;877500;202500;;;;
07-02-01;;;640000;;;;;;;;;;;;;;;;;;;877500;202500;;;;
08-02-01;;;615000;;;;;;;;;;;;;;;;;;;877500;202500;;;;
09-02-01;;;610000;;;;;;;;;;;;;;;;;;;872500;202500;;;;
12-02-01;;;631474;;;;;;;;;;;;;;;;;;;865042;193500;;;;
13-02-01;;;650000;;;;;;;;;;;;;;;;;;;890000;193500;;;;
14-02-01;;;647500;;;;;;;;;;;;;;;;;;;882500;182500;;;;
15-02-01;;;642500;;;;;;;;;;;;;;;;;;;880000;182500;;;;
16-02-01;;;635000;;;;;;;;;;;;;;;;;;;880000;182500;;;;
20-02-01;;;790000;;;;;;;;;;;;;;;;;;;900000;185000;;;;
21-02-01;;;992500;;;;;;;;;;;;;;;;;;;917461;187500;;;;
22-02-01;;;967500;;;;;;;;;;;;;;;;;;;917461;187500;;;;
23-02-01;;;950000;;;;;;;;;;;;;;;;;;;917461;195000;;;;
26-02-01;;;887500;;;;;;;;;;;;;;;;;;;910461;192500;;;;
27-02-01;;;870000;;;;;;;;;;;;;;;;;;;910461;192500;;;;
28-02-01;;;856000;;;;;;;;;;;;;;;;;;;907961;192500;;;;
01-03-01;;;856000;;;;;;;;;;;;;;;;;;;907961;192500;;;;
02-03-01;;;782500;;;;;;;;;;;;;;;;;;;897961;192500;;;;
05-03-01;;;770000;;;;;;;;;;;;;;;;;;;887036;190000;;;;
06-03-01;;;780000;;;;;;;;;;;;;;;;;;;887036;188500;;;;
07-03-01;;;780000;;;;;;;;;;;;;;;;;;;887036;188500;;;;
08-03-01;;;792500;;;;;;;;;;;;;;;;;;;887036;187500;;;;
09-03-01;;;820000;;;;;;;;;;;;;;;;;;;890000;187500;;;;
12-03-01;;;835000;;;;;;;;;;;;;;;;;;;880000;187500;;;;
13-03-01;;;835000;;;;;;;;;;;;;;;;;;;877500;187500;;;;
14-03-01;;;845000;;;;;;;;;;;;;;;;;;;885000;187500;;;;
