"Data";"Brasil";"Indonésia";"Turquia";"Colômbia";"Peru";"Hungria";"Coreia do Sul";"Malásia";"Filipinas";"Bulgaria";"Croacia";"Islândia";"Irlanda";"México";"Chile";"Marrocos";"Polônia";"Rússia";"África do Sul";"Eslovênia";"Tailândia";"Butão";"Vietnam";"Primeiro componente principal *(-1)";"NA";"NA"
2013-10-17;146,995;198,623909090909;178,837;119,154;127,492;255;64,645;110,744;97,5;115;310;59,5;152,755;294,85;130,5;103,665;81,841;215;82,5;153,459;173,134;325,184;114,604;390;246,27;-4,96988367518238
2013-10-18;149,505;196,437090909091;176,168;118,997;127,85;258,5;65,122;111,734;98,16;114;308;58,5;152,095;299,145;129,325;102,845;80,525;210;81,5;152,296;171,433;336,935;116,358;385;250,5;-4,96590547687184
2013-10-21;160,165;194,250272727273;176,618;123,507;131,345;257,29;64,219;111,399;98,155;120;329;58,5;154,8;298,765;129,33;105,342;79,51;210;82,005;152,464;171,807;323,534;116,271;385;252,5;-5,06291116372215
2013-10-22;157,175;192,063454545455;176,423;120,505;128,35;256,215;63,324;111,075;98,323;115;315;58,5;160;291,325;128;103,183;81,695;210;81,5;151,6;170,375;323,534;111,252;385;248,06;-4,87168022795961
2013-10-23;159,325;189,876636363636;179,119;123,482;128,675;250;64,484;111,064;93,838;115;313,38;58,5;160;283,97;128;104,33;84,335;210;81,5;155,645;173,825;316,034;112,899;385;244,685;-4,80083359972039
2013-10-24;162,15;187,689818181818;179,557;125,315;132,82;255;62,226;111,032;93,385;118,785;324,005;59,5;160;281,525;128,66;105,988;84,665;215;82,5;156,423;175,53;313,534;111,647;395;244,88;-4,93336289802495
2013-10-25;163,2;185,503;180,504;124,5;130,17;265,43;61,002;109,011;93,559;118;330;59,5;160;279,26;128,045;104,491;81,226;215;82,5;157,312;177,899;337,46;109,858;395;246,735;-4,97312017079518
2013-10-28;163,995;189,322;181,712;124,49;130,16;262,405;60,833;109,74;93,003;118;330;59,5;159,785;279,335;129,665;102,991;81,495;215;82,5;159,055;181,098;306,281;110,82;395;242,07;-4,8764153786688
2013-10-29;165,002;197,497;186,011;122,66;128,419;266,8;60,582;108,459;94,995;123,295;341,9;59,95;161,96;281,555;129,92;102,665;78,51;216,97;82,5;162,09;185,211;310,853;109,505;396,7;237;-5,00745411353158
2013-10-30;165,665;195,372;184,492;123,505;128,17;268,48;59,525;102,618;93,073;124;333;60,5;160;276,73;127,565;102,67;80,17;218;82,5;161,369;183,325;311,884;105,308;395;241,645;-4,9051224667202
2013-10-31;167,15;192,988;184,992;122,335;128,372;268,66;60,471;102,797;94,17;124;333;60,5;160;281,805;127,335;103,165;79,126;218;82,5;161,428;184,752;311,281;105,668;395;238;-4,91562832587068
2013-11-01;178,983;203,675;192,387;127,247;132,005;272,29;61,327;105,121;96,985;124,93;336,58;60,5;160;279,005;126;107,665;81,835;220;82,5;164,035;193,238;329,006;109,668;400;243;-5,27961313374765
2013-11-04;181,335;223,988;193,911;125,746;130,245;272,68;63,825;111,19;102,456;126;340;60,5;159,065;277,895;124,69;105,238;81,752;220;82,5;163,921;194,229;312,931;120,33;400;252,5;-5,53316383526974
2013-11-05;186,985;223,158;193,771;129,158;134,33;277,835;63,327;110,634;102,758;127;343;61,5;163,145;290,49;124,155;108,495;83,335;225;83,5;164,775;194,19;313,704;119,985;410;253;-5,77436928544187
2013-11-06;187,51;225,842;203,454;128,173;133,35;284,81;62,693;111,68;105,546;125,875;345,365;60,34;162,505;288,955;123,47;108,68;85,67;225;83,5;168,475;204,133;312,6;121,391;410;257,92;-5,86624542951693
2013-11-07;191,655;219,402;203,227;128,155;133,66;280;61,325;110,361;100,497;122,5;350,48;59,385;160,57;301,085;120,93;107,165;87,49;215;83,5;167,489;207,711;314,354;115,652;400;251,475;-5,63306475047439
2013-11-08;200,815;221,63;210,076;131,472;137,427;287,55;60,621;111,982;104,341;127;340;60,025;153,885;302,9;122,205;108,726;88,368;223,4;85,5;168,224;220,142;351,383;115,106;406,8;262;-6,07784007022025
2013-11-11;204,297;234,988;210,376;132,584;138,531;290;60,373;111,038;105,716;127;340;61,5;154,125;301,675;123,925;109,131;89,774;225;85,5;168,027;220,409;330,05;118,868;410;265;-6,21630274318684
2013-11-12;206,823;238,997;212,663;134,65;140,16;287,395;59,34;115,18;107,007;132,5;357,5;58,98;155,61;319,385;122,5;110,989;92,487;228,3;85,625;169,906;225,997;335,125;121,345;422,59;263,295;-6,43669792262387
2013-11-13;205,923;241,223;208,211;132,585;137,675;284,75;61,67;117,665;110,89;135;350;61,5;155,22;320,71;128,85;109,675;89,335;230;84,825;167,003;218,031;335,126;124;430;262,96;-6,57370331541079
2013-11-14;200;222,825;201,446;129,49;135,505;274,75;60,167;112,327;107,997;130;340;60,345;153,195;320,9;124,335;106,997;86,685;222;83,5;164,673;212,17;331,801;119,335;415;254,99;-5,9902589690912
2013-11-15;191,675;216,175;195,79;124,394;129,015;266,935;59,838;110,505;104,675;128;345;58,84;149,835;320,38;123,015;101,675;85,876;221,265;81,92;161,807;203,751;365,158;116,01;411,175;249,37;-5,71824656769713
2013-11-18;186,325;206,818;190,083;119,978;123,644;264,11;57,17;107,022;97,753;128;340;58,64;147,03;317,56;123,18;95,49;79,513;220,305;81,21;157,833;194,071;319,649;112,18;410;244,5;-5,10382600839765
2013-11-19;194,25;210,503;193,835;124,658;128,325;280,505;57,998;109,003;100,66;125;350;58,64;160,535;316,215;126;100,25;83,318;222;82,84;162,98;198,946;320,1;113,825;420;251,42;-5,55130803305416
2013-11-20;199,67;217,822;194,757;129,334;133,496;275;58,327;104,332;102,83;130,12;375;58,32;162,435;315,385;127,085;104,84;81,179;223,28;82,5;163,382;198,356;316,825;114,165;420;248,66;-5,69752981802369
2013-11-21;201,835;221,497;202,412;129,643;134,98;278,96;57,338;102,332;103,495;134;384,11;57,84;164,79;312,675;127,16;104,82;83,31;227;88,5;168,773;203,875;312,958;114,67;418,6;249,56;-5,91781486084571
2013-11-22;197,827;217,28;199,835;126,332;135,15;275;56,84;101,505;101,835;132;375;57,73;162,225;309,215;125,68;100,832;83,488;225;83,31;165,59;198,766;318,613;113,891;420;248,92;-5,64118485517875
2013-11-25;201,154;214,318;197,884;125,274;135,932;272,345;56,17;100,64;101;131;370;57,81;161,635;303,385;125,46;101,664;82,335;224,205;83,32;164,835;197,639;307,779;112,639;410,81;246,025;-5,47854779885466
2013-11-26;202,667;226,402;202,663;126,507;135,33;273,94;57,83;103,5;104,423;131,34;368,245;57,5;161,305;319,67;121,66;102,165;82,831;222;81,5;165,249;205,667;301,543;128,325;415;254,21;-5,72955762982073
2013-11-27;205,167;236,988;207,052;128,219;135,995;280;57,998;104,662;106,668;133;372,5;57,64;162,125;319,035;122,14;102,559;83,031;220;83,5;171,443;210,333;302,881;128,167;415;260,5;-5,96714496652524
2013-11-28;205;236,663;207,143;128,327;135,675;277,515;56,935;103,834;106,568;132,5;372,5;57,54;162,95;316,655;120,68;103;84,005;220;83,5;171,497;210,649;311,484;127,895;415;260;-5,94629565831997
2013-11-29;209,5;235,781;209,8135;128,916;138,0875;279,33;56,61;103,71;105,46;123;370;61,135;161,355;309,975;120,64;103,5;84,091;222,5;82,475;172,645;212,8435;305,38;125,495;409,995;257;-5,92158069703935
2013-12-02;214;228,995;212,484;129,505;140,5;277,99;57,327;104,658;104,35;131,66;374,995;61,735;177,29;312,375;122,85;104;84,177;224,02;85,5;173,793;215,038;310,151;128,32;410;260;-6,20496013219335
2013-12-03;213,335;235,167;215,495;131,34;141;282,98;58,83;108,5;112,165;131,06;385;60,845;179,16;317,36;123,01;104,838;84,668;225,405;85,5;176,167;220,67;310,125;131,148;410;260,39;-6,46541426808023
2013-12-04;214,75;235,778;220,225;131,938;142,25;289,11;58,771;108,997;111,746;133,67;380;60,845;180,825;317,64;121,17;105,875;86,158;220;81,18;176,333;224,06;369,05;129,249;415;268;-6,65109662910918
2013-12-05;203,827;236,17;216,126;128,658;138,825;282,91;58,835;108,003;112,835;130,215;374,895;60,645;179,975;317,69;125,335;101,827;84,493;224,12;80,5;172,118;219,824;321,892;129,32;410;265,885;-6,36522819704704
2013-12-06;192,564;226,822;207,944;122,162;132,167;283,33;57,84;107,012;111,838;132,5;376,29;60,445;176,33;319,275;125,21;93,75;81,061;218,325;80,5;167,903;212,204;367,594;127,34;411,79;258,335;-6,19802545377937
2013-12-09;185,173;221,405;200,225;119,68;127,51;278,83;57,502;105,845;109,8615;130;365,84;60,545;172,225;314,63;123,13;89,167;78,015;225;77,5;162,014;204,092;307,833;126,165;408,47;254,335;-5,65776351603617
2013-12-10;184,5;215,988;190,882;119,168;131;274,67;57,165;101,662;107,885;129;367,5;55;185;308,14;120;91,668;79,165;220;77,5;160,163;194,615;307,815;124,99;400;249,355;-5,36658888101006
2013-12-11;186,169;211,822;196,333;120,514;132,672;270;56,33;99,997;106,662;125;360,885;59,5;186,66;281,41;120,515;92,665;78,344;216,14;79,755;162,46;198,166;302,666;122,99;405;245,49;-5,28742170637975
2013-12-12;181,667;212,69;197,949;121,02;133,01;272,06;56,167;99,84;107,673;128;363,24;59,5;185;279,385;121,685;87,821;80,492;220;81;163,33;198,689;288,723;122,34;402,5;245,24;-5,31404779855645
2013-12-13;181,343;210;192,5;117,006;129,67;272;55,167;100,007;107,725;129;357,5;59,84;185;276,725;122,42;89,33;79,655;219,82;75,5;161,984;197,835;283,403;121,665;402,5;245,96;-5,12946351388549
